snapshot_date,nmid,latest_week_start,weeks_since_first_tx,current_transaction_days,prev_transaction_days,current_tier,prev_tier,tenure_bucket,expected_weeks_churn,churn_prob_4w,churn_prob_8w,churn_prob_13w,churn_prob_26w,churn_prob_52w,churn_score,confident,risk_segment
2026-04-21,ID2025443556902,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025443556910,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025443556928,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025443556936,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025443556944,2026-04-13,24,6,3,5-6,3-4,mature,31.01,0.051,0.1605,0.2785,0.5076,0.7626,0.051,True,low
2026-04-21,ID2025443556951,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025443556969,2026-04-13,26,0,6,0,5-6,mature,13.9,0.5826,0.6502,0.7038,0.7947,0.9007,0.5826,True,high
2026-04-21,ID2025443556977,2026-04-13,26,6,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025443556993,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025443557009,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025443559039,2026-04-13,26,3,4,3-4,3-4,mature,29.35,0.072,0.2086,0.3246,0.5385,0.7787,0.072,True,low
2026-04-21,ID2025444213578,2026-04-13,26,6,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444213586,2026-04-13,24,6,7,5-6,7,mature,31.78,0.0485,0.144,0.2623,0.4928,0.7564,0.0485,True,very low
2026-04-21,ID2025444213594,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213602,2026-04-13,24,4,7,3-4,7,mature,28.66,0.1104,0.2338,0.3403,0.5487,0.7828,0.1104,True,low
2026-04-21,ID2025444213628,2026-04-13,26,0,1,0,1-2,mature,13.09,0.5931,0.6731,0.7292,0.8118,0.9089,0.5931,True,high
2026-04-21,ID2025444213636,2026-04-13,24,3,5,3-4,5-6,mature,29.52,0.0747,0.2035,0.3165,0.5336,0.7764,0.0747,True,low
2026-04-21,ID2025444213651,2026-04-13,19,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213677,2026-04-13,25,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213685,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213693,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213701,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213719,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213735,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213768,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213784,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213800,2026-04-13,26,6,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444213818,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213834,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213842,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213867,2026-04-13,25,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213875,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213883,2026-04-13,26,1,1,1-2,1-2,mature,22.22,0.2403,0.4094,0.5067,0.6609,0.8406,0.2403,True,medium
2026-04-21,ID2025444213891,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213909,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213917,2026-04-13,26,3,2,3-4,1-2,mature,28.22,0.1002,0.2444,0.3513,0.5575,0.788,0.1002,True,low
2026-04-21,ID2025444213925,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213933,2026-04-13,25,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213941,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213958,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444213966,2026-04-13,24,6,7,5-6,7,mature,31.78,0.0485,0.144,0.2623,0.4928,0.7564,0.0485,True,very low
2026-04-21,ID2025444213974,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213982,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444213990,2026-04-13,25,3,0,3-4,0,mature,29.81,0.0723,0.2005,0.3121,0.5294,0.7738,0.0723,True,low
2026-04-21,ID2025444214006,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214014,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214030,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214048,2026-04-13,21,2,4,1-2,3-4,mature,24.79,0.1802,0.3338,0.4384,0.614,0.8168,0.1802,True,low
2026-04-21,ID2025444214055,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214063,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214071,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214089,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214105,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214113,2026-04-13,25,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214139,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214147,2026-04-13,24,3,2,3-4,1-2,mature,28.22,0.1002,0.2444,0.3513,0.5575,0.788,0.1002,True,low
2026-04-21,ID2025444214154,2026-04-13,26,4,6,3-4,5-6,mature,29.52,0.0747,0.2035,0.3165,0.5336,0.7764,0.0747,True,low
2026-04-21,ID2025444214162,2026-04-13,24,1,1,1-2,1-2,mature,22.22,0.2403,0.4094,0.5067,0.6609,0.8406,0.2403,True,medium
2026-04-21,ID2025444214170,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214196,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214204,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214212,2026-04-13,26,6,7,5-6,7,mature,31.78,0.0485,0.144,0.2623,0.4928,0.7564,0.0485,True,very low
2026-04-21,ID2025444214220,2026-04-13,24,2,3,1-2,3-4,mature,24.79,0.1802,0.3338,0.4384,0.614,0.8168,0.1802,True,low
2026-04-21,ID2025444214238,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214246,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214253,2026-04-13,26,6,6,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444214279,2026-04-13,25,6,7,5-6,7,mature,31.78,0.0485,0.144,0.2623,0.4928,0.7564,0.0485,True,very low
2026-04-21,ID2025444214287,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214303,2026-04-13,25,5,6,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444214311,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214329,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214345,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214360,2026-04-13,26,6,0,5-6,0,mature,32.12,0.0383,0.1347,0.2527,0.4865,0.753,0.0383,True,very low
2026-04-21,ID2025444214378,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214386,2026-04-13,24,1,2,1-2,1-2,mature,22.22,0.2403,0.4094,0.5067,0.6609,0.8406,0.2403,True,medium
2026-04-21,ID2025444214394,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214428,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214436,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214444,2026-04-13,24,0,2,0,1-2,mature,13.09,0.5931,0.6731,0.7292,0.8118,0.9089,0.5931,True,high
2026-04-21,ID2025444214451,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214469,2026-04-13,24,7,4,7,3-4,mature,33.36,0.0277,0.108,0.2174,0.4623,0.7418,0.0277,True,very low
2026-04-21,ID2025444214485,2026-04-13,24,7,5,7,5-6,mature,33.41,0.0263,0.1051,0.2163,0.4613,0.7415,0.0263,True,very low
2026-04-21,ID2025444214493,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214519,2026-04-13,26,3,7,3-4,7,mature,28.66,0.1104,0.2338,0.3403,0.5487,0.7828,0.1104,True,low
2026-04-21,ID2025444214527,2026-04-13,26,4,6,3-4,5-6,mature,29.52,0.0747,0.2035,0.3165,0.5336,0.7764,0.0747,True,low
2026-04-21,ID2025444214535,2026-04-13,26,5,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444214543,2026-04-13,23,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214550,2026-04-13,24,3,3,3-4,3-4,mature,29.35,0.072,0.2086,0.3246,0.5385,0.7787,0.072,True,low
2026-04-21,ID2025444214568,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214576,2026-04-13,26,2,3,1-2,3-4,mature,24.79,0.1802,0.3338,0.4384,0.614,0.8168,0.1802,True,low
2026-04-21,ID2025444214584,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214592,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214600,2026-04-13,26,3,0,3-4,0,mature,29.81,0.0723,0.2005,0.3121,0.5294,0.7738,0.0723,True,low
2026-04-21,ID2025444214618,2026-04-13,24,3,2,3-4,1-2,mature,28.22,0.1002,0.2444,0.3513,0.5575,0.788,0.1002,True,low
2026-04-21,ID2025444214626,2026-04-13,24,7,6,7,5-6,mature,33.41,0.0263,0.1051,0.2163,0.4613,0.7415,0.0263,True,very low
2026-04-21,ID2025444214634,2026-04-13,24,6,6,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444214642,2026-04-13,26,7,0,7,0,mature,33.69,0.0237,0.0998,0.2118,0.4566,0.7383,0.0237,True,very low
2026-04-21,ID2025444214659,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214667,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214675,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214683,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214717,2026-04-13,26,5,2,5-6,1-2,mature,30.87,0.0537,0.166,0.2819,0.5092,0.7642,0.0537,True,low
2026-04-21,ID2025444214733,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214741,2026-04-13,25,3,6,3-4,5-6,mature,29.52,0.0747,0.2035,0.3165,0.5336,0.7764,0.0747,True,low
2026-04-21,ID2025444214758,2026-04-13,24,6,6,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444214774,2026-04-13,26,4,1,3-4,1-2,mature,28.22,0.1002,0.2444,0.3513,0.5575,0.788,0.1002,True,low
2026-04-21,ID2025444214782,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214790,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214808,2026-04-13,24,6,3,5-6,3-4,mature,31.01,0.051,0.1605,0.2785,0.5076,0.7626,0.051,True,low
2026-04-21,ID2025444214816,2026-04-13,25,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214824,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214840,2026-04-13,24,0,1,0,1-2,mature,13.09,0.5931,0.6731,0.7292,0.8118,0.9089,0.5931,True,high
2026-04-21,ID2025444214857,2026-04-13,24,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214865,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214873,2026-04-13,25,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214881,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214899,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214907,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214915,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444214923,2026-04-13,26,3,0,3-4,0,mature,29.81,0.0723,0.2005,0.3121,0.5294,0.7738,0.0723,True,low
2026-04-21,ID2025444214931,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214956,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444214964,2026-04-13,26,5,7,5-6,7,mature,31.78,0.0485,0.144,0.2623,0.4928,0.7564,0.0485,True,very low
2026-04-21,ID2025444214980,2026-04-13,26,5,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444214998,2026-04-13,26,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444215003,2026-04-13,26,5,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444215011,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444215037,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444215045,2026-04-13,26,5,5,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444215052,2026-04-13,24,6,6,5-6,5-6,mature,31.09,0.0546,0.1569,0.2779,0.5066,0.7621,0.0546,True,low
2026-04-21,ID2025444215060,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444215086,2026-04-13,26,3,0,3-4,0,mature,29.81,0.0723,0.2005,0.3121,0.5294,0.7738,0.0723,True,low
2026-04-21,ID2025444215094,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444215102,2026-04-13,24,0,0,0,0,mature,3.82,0.9035,0.9171,0.9304,0.9516,0.9761,0.9035,True,critical
2026-04-21,ID2025444215110,2026-04-13,25,0,1,0,1-2,mature,13.09,0.5931,0.6731,0.7292,0.8118,0.9089,0.5931,True,high
2026-04-21,ID2025444215128,2026-04-13,25,1,1,1-2,1-2,mature,22.22,0.2403,0.4094,0.5067,0.6609,0.8406,0.2403,True,medium
2026-04-21,ID2025444215136,2026-04-13,26,7,7,7,7,mature,33.84,0.0188,0.0957,0.2092,0.4552,0.7374,0.0188,True,very low
2026-04-21,ID2025444215144,2026-04-13,24,7,4,7,3-4,mature,33.36,0.0277,0.108,0.2174,0.4623,0.7418,0.0277,True,very low
